Investor Name,Investor Slug,Investor Type,Impact Focus,Website,HQ Country,AUM Bucket,Status,Notes
Floating Point,floating-point,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Google,google,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
LowerCarbon Capital,lowercarbon-capital,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Collab Fund,collab-fund,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Andreessen Horowitz,andreessen-horowitz,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Kindred Ventures,kindred-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Coinbase Ventures,coinbase-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
SV Angel,sv-angel,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Variant,variant,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Access Ventures,access-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Cathay Innovation,cathay-innovation,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Openspace Ventures,openspace-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Partech,partech,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Linear Venture,linear-venture,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
ACA Investments,aca-investments,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Blueorchard,blueorchard,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Women's World Banking,women-s-world-banking,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
La Maison,la-maison,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Tekton Ventures,tekton-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Kolibra Capital,kolibra-capital,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
ICE,ice,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Edaphon,edaphon,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Regeneration,regeneration,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Mercy,mercy,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Finca,finca,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Sabi,sabi,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Audacious Project,audacious-project,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Cartier Philanthrophy,cartier-philanthrophy,foundation,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
CF Industries,cf-industries,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
COmON Foundation,comon-foundation,foundation,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Dovetail Impact Foundation,dovetail-impact-foundation,foundation,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Draper Richards Kaplan Foundation,draper-richards-kaplan-foundation,foundation,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Dutch Postcode Lottery,dutch-postcode-lottery,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Ecosia,ecosia,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Ezrah Charitable Trust,ezrah-charitable-trust,foundation,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Focusing Philanthropy,focusing-philanthropy,foundation,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Government of Netherlands,government-of-netherlands,government,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Jasmine Social Investments,jasmine-social-investments,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
John Deere Foundation,john-deere-foundation,foundation,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
King Philanthropies,king-philanthropies,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Latter-Day Saints Charities,latter-day-saints-charities,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
One Percent For The Planet,one-percent-for-the-planet,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Pershing Square,pershing-square,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Virgin Unite,virgin-unite,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Whole Planet Foundation,whole-planet-foundation,foundation,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Y Combinator,y-combinator,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Echo VC,echo-vc,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Allon,allon,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Air Capital,air-capital,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Antom VC,antom-vc,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Embarca,embarca,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Reciprocal Ventures,reciprocal-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Avesta Fund,avesta-fund,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Savia Ventures,savia-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Zenani Capital,zenani-capital,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Draper Cygnus,draper-cygnus,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Mercy Corps,mercy-corps,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Vitamin C,vitamin-c,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Dalus Capital,dalus-capital,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Draper,draper,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Innventure,innventure,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Gain,gain,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
UBS Optimus Foundation,ubs-optimus-foundation,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Legatum,legatum,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Ferd,ferd,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Mastercard,mastercard,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Wire Group,wire-group,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
The Mills Fabrica,the-mills-fabrica,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Rabobank,rabobank,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Swiss Agency for Development and Cooperation,swiss-agency-for-development-and-cooperation,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Prudential Financial,prudential-financial,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Triple Jump,triple-jump,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Royal Philips,royal-philips,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
"Merck & Co., Inc.",merck-co-inc,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
FSD Africa Investments,fsd-africa-investments,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
ImpactAssets Inc.,impactassets-inc,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Global Health Investment Corporation,global-health-investment-corporation,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Chemonics International,chemonics-international,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Anesvad Foundation,anesvad-foundation,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Netri Foundation,netri-foundation,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
U.S. Agency for International Development,u-s-agency-for-international-development,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Schmidt Family Foundation,schmidt-family-foundation,foundation,unknown,,US,unknown,active,Schmidt Family Foundation / 11th Hour Project; private 501(c)(3); discovered via Aligned Climate Fund 2 LP scrape.
Nathan Cummings Foundation,nathan-cummings-foundation,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Paul G. Allen Family Foundation,paul-g-allen-family-foundation,foundation,unknown,,US,unknown,active,Discovered via GFCR LP scrape (2026-04-30); US private foundation co-initiator of Global Fund for Coral Reefs.
